Annee;HC;HP;HF;Valeur
2022;HC_42;TOTAL;HF_21;260
2022;HC_43;TOTAL;HF_11;26
2022;HC_43;TOTAL;HF_121;5698
2022;HC_52;TOTAL;HF_11;57
2022;HC_52;TOTAL;HF_121;9484
2022;HC_52;TOTAL;HF_31;325
2022;HC_62;TOTAL;HF_121;2077
2022;HC_62;TOTAL;HF_122;94
2022;HC_63;TOTAL;HF_121;4594
2022;HC_63;TOTAL;HF_21;41
2022;HC_63;TOTAL;HF_32;159
2022;HC_64;TOTAL;HF_11;909
2022;HC_64;TOTAL;HF_122;0
2022;HC_64;TOTAL;HF_23;2254
2022;HC_65;TOTAL;HF_121;257
2022;HC_65;TOTAL;HF_122;0
2022;HC_66;TOTAL;HF_11;124
2022;HC_72;TOTAL;HF_121;6729
2023;HC_11;TOTAL;HF_11;746
2023;HC_11;TOTAL;HF_31;193
2023;HC_14;TOTAL;HF_11;54
2023;HC_14;TOTAL;HF_121;11450
2023;HC_14;TOTAL;HF_122;272
2023;HC_22;TOTAL;HF_32;11
2023;HC_23;TOTAL;HF_122;802
2023;HC_23;TOTAL;HF_21;752
2023;HC_23;TOTAL;HF_31;2413
2023;HC_23;TOTAL;HF_32;844
2023;HC_24;TOTAL;HF_11;0
2023;HC_24;TOTAL;HF_32;0
2023;HC_31;TOTAL;HF_11;807
2023;HC_31;TOTAL;HF_21;10
2023;HC_33;TOTAL;HF_121;1600
2023;HC_34;TOTAL;HF_121;4075
2023;HC_34;TOTAL;HF_122;13
2023;HC_42;TOTAL;HF_21;279
2023;HC_43;TOTAL;HF_21;115
2023;HC_52;TOTAL;HF_11;64
2023;HC_52;TOTAL;HF_21;2745
2023;HC_52;TOTAL;HF_31;321
2023;HC_61;TOTAL;HF_121;310
2023;HC_62;TOTAL;HF_122;116
2023;HC_62;TOTAL;HF_21;129
